"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,88746513,"onehtwndr (1/100)",0,174.25,"(OF) Jose Bautista ,(SS) Jhonny Peralta ,(OF) Carlos Gonzalez ,(3B) Todd Frazier ,(OF) Aaron Hicks ,(P) Jake Odorizzi ,(2B) DJ LeMahieu ,(1B) Paul Goldschmidt ,(P) Yordano Ventura ,(C) Evan Gattis "
2,88836422,"JediGM (1/100)",0,172.10,"(SS) Jose Reyes ,(OF) Hanley Ramirez ,(OF) Delmon Young ,(OF) Justin Upton ,(3B) Evan Longoria ,(1B) Paul Goldschmidt ,(P) Yordano Ventura ,(P) Carlos Martinez ,(2B) Delino DeShields ,(C) Evan Gattis "
3,88802813,"rude65us (1/100)",0,168.10,"(SS) Ian Desmond ,(OF) Ryan Braun ,(1B) Todd Frazier ,(3B) Josh Donaldson ,(C) Salvador Perez ,(OF) Billy Burns ,(OF) A.J. Pollock ,(P) Yordano Ventura ,(P) Carlos Martinez ,(2B) Delino DeShields "
4,88748757,"dcfan62 (1/100)",0,166.85,"(OF) Steven Souza Jr. ,(3B) Josh Donaldson ,(P) Jake Odorizzi ,(SS) Danny Espinosa ,(OF) A.J. Pollock ,(2B) DJ LeMahieu ,(1B) Paul Goldschmidt ,(OF) George Springer ,(C) Evan Gattis ,(P) Tsuyoshi Wada "
5,88789626,"joelpeart (2/100)",0,162.30,"(SS) Jose Reyes ,(OF) David DeJesus ,(C) Russell Martin ,(OF) Mark Trumbo ,(P) Jake Odorizzi ,(OF) A.J. Pollock ,(1B) Paul Goldschmidt ,(P) Drew Hutchison ,(2B) Delino DeShields ,(3B) Yasmany Tomas "
6,88791474,"karamazov (1/100)",0,159.45,"(1B) Joe Mauer ,(P) Jesse Chavez ,(OF) Matt Holliday ,(SS) Jhonny Peralta ,(P) Madison Bumgarner ,(C) Stephen Vogt ,(OF) Charlie Blackmon ,(3B) DJ LeMahieu ,(2B) Brian Dozier ,(OF) Joc Pederson "
7,88825122,"garybronco29 (2/100)",0,156.10,"(SS) Jhonny Peralta ,(OF) Mark Trumbo ,(2B) Luis Valbuena ,(C) Nick Hundley ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(OF) Charlie Blackmon ,(1B) Paul Goldschmidt ,(P) Yordano Ventura ,(P) Carlos Martinez "
8,88807107,"Kingchopper (2/100)",0,154.80,"(C) Yadier Molina ,(OF) Jose Bautista ,(SS) Jhonny Peralta ,(OF) Michael Brantley ,(3B) Josh Donaldson ,(2B) Jason Kipnis ,(P) Joe Kelly ,(1B) Paul Goldschmidt ,(P) Carlos Martinez ,(OF) Bryce Harper "
9,88815654,"brighteyes (7/100)",0,153.45,"(2B) Chase Utley ,(P) Jesse Chavez ,(C) Jarrod Saltalamacchia ,(OF) David Peralta ,(P) Madison Bumgarner ,(SS) Brandon Crawford ,(OF) Joey Butler ,(OF) A.J. Pollock ,(1B) Paul Goldschmidt ,(3B) Yasmany Tomas "
10,88812168,"jsdoege (2/100)",0,151.10,"(SS) Jose Reyes ,(1B) Joey Votto ,(OF) Mark Trumbo ,(C) Stephen Vogt ,(2B) Jose Altuve ,(3B) Nolan Arenado ,(P) Yordano Ventura ,(P) Carlos Martinez ,(OF) Bryce Harper ,(OF) Delino DeShields "
