"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,85923799,"jswag9 (1/50)",0,188.80,"(3B) Miguel Cabrera ,(OF) Steve Pearce ,(C) Michael McKenry ,(P) David Price ,(OF) Charlie Blackmon ,(2B) DJ LeMahieu ,(1B) Darin Ruf ,(P) Jacob deGrom ,(SS) Brad Miller ,(OF) Yoenis Cespedes "
2,85953246,"yn09491544 (2/50)",0,186.80,"(OF) Nelson Cruz ,(SS) Cliff Pennington ,(3B) Jimmy Paredes ,(P) David Price ,(1B) Lucas Duda ,(2B) Dee Gordon ,(OF) Jake Marisnick ,(P) Jacob deGrom ,(C) James McCann ,(OF) Yoenis Cespedes "
2,85955366,"yn09491544 (3/50)",0,186.80,"(OF) Nelson Cruz ,(SS) Cliff Pennington ,(3B) Jimmy Paredes ,(P) David Price ,(1B) Lucas Duda ,(2B) Dee Gordon ,(OF) Jake Marisnick ,(P) Jacob deGrom ,(C) James McCann ,(OF) Yoenis Cespedes "
4,85893228,"lionssuck (3/50)",0,181.80,"(2B) Chase Utley ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(SS) Cliff Pennington ,(C) Michael McKenry ,(P) David Price ,(OF) Charlie Blackmon ,(1B) Darin Ruf ,(P) Jacob deGrom ,(OF) Yoenis Cespedes "
4,85893230,"lionssuck (5/50)",0,181.80,"(2B) Chase Utley ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(SS) Cliff Pennington ,(C) Michael McKenry ,(P) David Price ,(OF) Charlie Blackmon ,(1B) Darin Ruf ,(P) Jacob deGrom ,(OF) Yoenis Cespedes "
4,85893243,"lionssuck (6/50)",0,181.80,"(2B) Chase Utley ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(SS) Cliff Pennington ,(C) Michael McKenry ,(P) David Price ,(OF) Charlie Blackmon ,(1B) Darin Ruf ,(P) Jacob deGrom ,(OF) Yoenis Cespedes "
4,85893245,"lionssuck (7/50)",0,181.80,"(2B) Chase Utley ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(SS) Cliff Pennington ,(C) Michael McKenry ,(P) David Price ,(OF) Charlie Blackmon ,(1B) Darin Ruf ,(P) Jacob deGrom ,(OF) Yoenis Cespedes "
4,85893247,"lionssuck (8/50)",0,181.80,"(2B) Chase Utley ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(SS) Cliff Pennington ,(C) Michael McKenry ,(P) David Price ,(OF) Charlie Blackmon ,(1B) Darin Ruf ,(P) Jacob deGrom ,(OF) Yoenis Cespedes "
4,85903063,"lionssuck (1/50)",0,181.80,"(2B) Chase Utley ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(SS) Cliff Pennington ,(C) Michael McKenry ,(P) David Price ,(OF) Charlie Blackmon ,(1B) Darin Ruf ,(P) Jacob deGrom ,(OF) Yoenis Cespedes "
4,85903064,"lionssuck (2/50)",0,181.80,"(2B) Chase Utley ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(SS) Cliff Pennington ,(C) Michael McKenry ,(P) David Price ,(OF) Charlie Blackmon ,(1B) Darin Ruf ,(P) Jacob deGrom ,(OF) Yoenis Cespedes "
