"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
1,80397603,"CabelloMud (1/100)",0,161.05,"(3B) Alex Rodriguez ,(OF) Mark Trumbo ,(OF) Jacoby Ellsbury ,(C) Buster Posey ,(2B) Dee Gordon ,(P) Collin McHugh ,(OF) Jake Marisnick ,(1B) Paul Goldschmidt ,(P) Rubby De La Rosa ,(SS) Adeiny Hechavarria "
2,81632173,"morecowbell59 (2/100)",0,157.95,"(3B) Alex Rodriguez ,(SS) Erick Aybar ,(OF) Andrew McCutchen ,(P) Chris Archer ,(P) Hector Santiago ,(C) Derek Norris ,(OF) Mike Trout ,(1B) Paul Goldschmidt ,(OF) Gregory Polanco ,(2B) Delino DeShields "
3,81600986,"rkess100 (1/100)",0,154.65,"(3B) Alex Rodriguez ,(P) A.J. Burnett ,(OF) Mark Trumbo ,(OF) David Peralta ,(C) Buster Posey ,(SS) Brandon Crawford ,(P) Collin McHugh ,(2B) Chris Owings ,(1B) Paul Goldschmidt ,(OF) Ender Inciarte "
4,81636240,"storytme1133 (1/100)",0,152.00,"(3B) Alex Rodriguez ,(SS) Erick Aybar ,(OF) Andrew McCutchen ,(P) Chris Archer ,(C) Derek Norris ,(P) Collin McHugh ,(1B) Paul Goldschmidt ,(OF) Ender Inciarte ,(OF) Gregory Polanco ,(2B) Delino DeShields "
5,81628930,"docgstine (1/100)",0,149.00,"(3B) Alex Rodriguez ,(C) Chris Stewart ,(OF) Andrew McCutchen ,(P) Chris Archer ,(OF) Carlos Peguero ,(2B) Dee Gordon ,(P) Collin McHugh ,(OF) Mike Trout ,(1B) Paul Goldschmidt ,(SS) Adeiny Hechavarria "
6,81623417,"fritzcovemafia (1/100)",0,148.00,"(3B) Alex Rodriguez ,(SS) Erick Aybar ,(OF) Andrew McCutchen ,(OF) Justin Maxwell ,(P) Chris Archer ,(C) Derek Norris ,(P) Collin McHugh ,(OF) Mike Trout ,(1B) Paul Goldschmidt ,(2B) Delino DeShields "
7,81621040,"Milo1051 (13/100)",0,147.05,"(P) A.J. Burnett ,(OF) Mark Trumbo ,(C) Tuffy Gosewisch ,(P) Chris Archer ,(OF) David Peralta ,(3B) Pedro Alvarez ,(SS) Didi Gregorius ,(2B) Chris Owings ,(1B) Paul Goldschmidt ,(OF) Ender Inciarte "
7,81621041,"Milo1051 (14/100)",0,147.05,"(P) A.J. Burnett ,(OF) Mark Trumbo ,(C) Tuffy Gosewisch ,(P) Chris Archer ,(OF) David Peralta ,(3B) Pedro Alvarez ,(SS) Didi Gregorius ,(2B) Chris Owings ,(1B) Paul Goldschmidt ,(OF) Ender Inciarte "
7,81621042,"Milo1051 (15/100)",0,147.05,"(P) A.J. Burnett ,(OF) Mark Trumbo ,(C) Tuffy Gosewisch ,(P) Chris Archer ,(OF) David Peralta ,(3B) Pedro Alvarez ,(SS) Didi Gregorius ,(2B) Chris Owings ,(1B) Paul Goldschmidt ,(OF) Ender Inciarte "
7,81621043,"Milo1051 (16/100)",0,147.05,"(P) A.J. Burnett ,(OF) Mark Trumbo ,(C) Tuffy Gosewisch ,(P) Chris Archer ,(OF) David Peralta ,(3B) Pedro Alvarez ,(SS) Didi Gregorius ,(2B) Chris Owings ,(1B) Paul Goldschmidt ,(OF) Ender Inciarte "
11,81619392,"RAiNxOVERxYOU (28/100)",0,144.00,"(OF) Mark Trumbo ,(C) Tuffy Gosewisch ,(3B) Chris Davis ,(P) Chris Archer ,(OF) David Peralta ,(P) Collin McHugh ,(SS) Didi Gregorius ,(2B) Chris Owings ,(1B) Paul Goldschmidt ,(OF) Ender Inciarte "
12,81580182,"jbrzezi (1/100)",0,143.65,"(3B) Alex Rodriguez ,(P) A.J. Burnett ,(C) Brian McCann ,(2B) Neil Walker ,(OF) Andrew McCutchen ,(OF) Jacoby Ellsbury ,(OF) David Peralta ,(SS) Tim Beckham ,(1B) Pedro Alvarez ,(P) Collin McHugh "
13,81641218,"rankg9010 (9/100)",0,143.10,"(P) A.J. Burnett ,(C) Brian McCann ,(OF) David Peralta ,(OF) Jimmy Paredes ,(3B) Yangervis Solarte ,(SS) Brandon Crawford ,(2B) Jose Altuve ,(1B) Paul Goldschmidt ,(P) Rubby De La Rosa ,(OF) Yasmany Tomas "
14,81568649,"t1dolan (1/100)",0,143.00,"(3B) Alex Rodriguez ,(SS) Erick Aybar ,(OF) Andrew McCutchen ,(P) Chris Archer ,(C) Derek Norris ,(OF) Collin Cowgill ,(P) Collin McHugh ,(OF) Mike Trout ,(1B) Paul Goldschmidt ,(2B) Delino DeShields "
15,80461550,"xandamere (1/100)",0,142.00,"(3B) Alex Rodriguez ,(SS) Stephen Drew ,(P) Chris Archer ,(OF) David Peralta ,(C) Caleb Joseph ,(P) Collin McHugh ,(2B) Jose Altuve ,(OF) Wil Myers ,(1B) Paul Goldschmidt ,(OF) Ender Inciarte "
15,81596295,"xandamere (2/100)",0,142.00,"(3B) Alex Rodriguez ,(SS) Stephen Drew ,(P) Chris Archer ,(OF) David Peralta ,(C) Caleb Joseph ,(P) Collin McHugh ,(2B) Jose Altuve ,(OF) Wil Myers ,(1B) Paul Goldschmidt ,(OF) Ender Inciarte "
