"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"14447-9642","PG","Russell","Westbrook","48.3","41","10400","MIA@OKC","OKC","MIA","","","",""
"14447-9646","SF","Kevin","Durant","43.7","34","9900","MIA@OKC","OKC","MIA","","","",""
"14447-9644","SG","James","Harden","44.5","41","9500","HOU@LAL","HOU","LAL","","","",""
"14447-12341","SF","Paul","George","39.4","40","8800","IND@DEN","IND","DEN","GTD","Knee","",""
"14447-9660","C","Dwight","Howard","33.6","34","8200","HOU@LAL","HOU","LAL","GTD","Oblique","",""
"14447-9718","PF","Chris","Bosh","33.9","40","7900","MIA@OKC","MIA","OKC","","","",""
"14447-12363","C","Hassan","Whiteside","33.2","38","7800","MIA@OKC","MIA","OKC","","","",""
"14447-14513","SF","Kawhi","Leonard","37","39","7800","DAL@SA","SA","DAL","","","",""
"14447-9585","SG","Dwyane","Wade","30.7","38","7200","MIA@OKC","MIA","OKC","GTD","Shoulder","",""
"14447-9500","PF","Dirk","Nowitzki","30.3","38","7100","DAL@SA","DAL","SA","","","",""
"14447-9688","PF","LaMarcus","Aldridge","29.9","38","7100","DAL@SA","SA","DAL","","","",""
"14447-9637","SF","Danilo","Gallinari","30.7","34","7000","IND@DEN","DEN","IND","","","",""
"14447-9454","C","Zaza","Pachulia","27.6","39","6800","DAL@SA","DAL","SA","","","",""
"14447-17333","SG","Will","Barton","28","40","6600","IND@DEN","DEN","IND","","","",""
"14447-9566","SG","Kobe","Bryant","26.7","34","6600","HOU@LAL","LAL","HOU","GTD","Achilles","",""
"14447-9710","C","Tim","Duncan","25.8","35","6300","DAL@SA","SA","DAL","","","",""
"14447-20640","PG","Jordan","Clarkson","24.3","40","6200","HOU@LAL","LAL","HOU","","","",""
"14447-9526","SG","Monta","Ellis","26.1","40","6200","IND@DEN","IND","DEN","","","",""
"14447-9957","PF","Serge","Ibaka","26.5","41","6200","MIA@OKC","OKC","MIA","","","",""
"14447-9722","PG","Deron","Williams","26.6","33","6200","DAL@SA","DAL","SA","","","",""
"14447-14521","PF","Kenneth","Faried","25.9","34","6100","IND@DEN","DEN","IND","","","",""
"14447-9702","PG","Tony","Parker","24.4","38","6100","DAL@SA","SA","DAL","","","",""
"14447-9662","SG","Louis","Williams","23.7","40","6000","HOU@LAL","LAL","HOU","","","",""
"14447-9703","PG","George","Hill","24","36","5800","IND@DEN","IND","DEN","GTD","Personal","",""
"14447-14537","SF","Chandler","Parsons","18.1","33","5500","DAL@SA","DAL","SA","","","",""
"14447-42669","PF","Julius","Randle","24.7","41","5500","HOU@LAL","LAL","HOU","","","",""
"14447-9673","PG","Goran","Dragic","23.8","37","5500","MIA@OKC","MIA","OKC","O","Calf","",""
"14447-58312","PG","D'Angelo","Russell","21.9","40","5200","HOU@LAL","LAL","HOU","","","",""
"14447-9538","SF","Trevor","Ariza","22.5","40","5100","HOU@LAL","HOU","LAL","","","",""
"14447-9652","PG","Jameer","Nelson","19.3","36","5100","IND@DEN","DEN","IND","","","",""
"14447-9953","C","Ian","Mahinmi","22.1","38","5100","IND@DEN","IND","DEN","","","",""
"14447-9799","SG","Wesley","Matthews","20.7","37","5000","DAL@SA","DAL","SA","","","",""
"14447-63124","PG","Emmanuel","Mudiay","22.5","26","4800","IND@DEN","DEN","IND","","","",""
"14447-55062","C","Nikola","Jokic","18.8","38","4700","IND@DEN","DEN","IND","","","",""
"14447-9704","SG","Manu","Ginobili","20","35","4700","DAL@SA","SA","DAL","","","",""
"14447-15757","PF","Terrence","Jones","18.8","35","4600","HOU@LAL","HOU","LAL","","","",""
"14447-55059","PF","Clint","Capela","20.3","40","4600","HOU@LAL","HOU","LAL","","","",""
"14447-9479","SF","Luol","Deng","19.5","34","4500","MIA@OKC","MIA","OKC","","","",""
"14447-20992","PF","Larry","Nance Jr.","14.6","37","4500","HOU@LAL","LAL","HOU","GTD","Knee","",""
"14447-12474","PG","Patrick","Beverley","17.9","33","4500","HOU@LAL","HOU","LAL","GTD","Ankle","",""
"14447-14516","C","Enes","Kanter","21.3","41","4400","MIA@OKC","OKC","MIA","","","",""
"14447-18600","PG","Tyler","Johnson","16.6","30","4400","MIA@OKC","MIA","OKC","","","",""
"14447-9725","SF","C.J.","Miles","20.7","35","4400","IND@DEN","IND","DEN","","","",""
"14447-9752","C","Jordan","Hill","20.4","36","4300","IND@DEN","IND","DEN","","","",""
"14447-9580","PF","Darrell","Arthur","16.1","37","4300","IND@DEN","DEN","IND","","","",""
"14447-23169","C","Steven","Adams","17.8","41","4300","MIA@OKC","OKC","MIA","","","",""
"14447-24544","SG","Gary","Harris","17.8","34","4300","IND@DEN","DEN","IND","","","",""
"14447-9495","PG","Jose Juan","Barea","17.8","35","4200","DAL@SA","DAL","SA","","","",""
"14447-9514","SG","Rodney","Stuckey","18.3","33","4200","IND@DEN","IND","DEN","O","Foot","",""
"14447-9629","PF","David","West","15.1","40","4200","DAL@SA","SA","DAL","","","",""
"14447-55057","C","Jusuf","Nurkic","19.3","6","4200","IND@DEN","DEN","IND","O","Knee","",""
"14447-9465","PG","Raymond","Felton","18.8","41","4200","DAL@SA","DAL","SA","","","",""
"14447-16220","SG","Dion","Waiters","16.9","41","4100","MIA@OKC","OKC","MIA","","","",""
"14447-9491","PF","J.J.","Hickson","16.3","18","4000","IND@DEN","DEN","IND","GTD","Teeth","",""
